,company,edu,experience,gzxz,kind,number,place,pourtime,require,salary,url,zhiwei
10,网易集团 ,本科,5-10年,全职,系统分析员,1人 ,杭州,15天前,"职位描述:1、负责网易文学的核心数据监控，及时发现数据异常，并分析原因（网易文学产品线：云阅读、蜗牛读书、网易漫画、网易LOFTER）；2、周期性输出产品和运营的数据周报，让产品和运营同事及时了解产品的数据走向；3、负责撰写专题性数据分析报告，为产品决策提供合理化建议；4、将关键分析思路产品化，并推动这个产品化进程；5、及时响应产品、运营、市场或者BD的数据统计或者分析需求；6，负责搭建后台数据统计与分析系统架构。任职资格：1、至少3年的互联网数据分析经验，统计学、数学专业优先2、熟练操作数据提取、处理和分析软件，如SQL/Hql、Excel、R、SPSS等3、有良好的数据敏感度，能够及时发现数据异常，并分析数据异常的原因4、有丰富的数据建模经验，掌握常用的数据建模方法，如回归、分类、聚类等5、有较强的团队沟通、协调能力,   强自驱力。
                        


查看职位地图",面议,http://jobs.zhaopin.com/147576908255800.htm,资深数据分析师-杭州研究院922(职位编号：J176789)
11,网易集团 ,本科,5-10年,全职,系统分析员,2人 ,杭州,15天前,"职位描述:1、支持业务部门需求，完成部门内部交付的数据分析任务；2、对业务问题进行深入分析，能对关键分析思路进行产品化；3、能将数据转化为业务建议，推动数据价值落地。任职资格：1、本科及以上学历，2年以上工作经验，数学、计算机专业优先；2、有一定的创新能力，在以往的数据分析、挖掘等工作中有自己独特的见解；3、具有较强的逻辑思维能力、数据洞察能力和沟通协调能力，拥有强烈的责任心和团队合作精神；4、具有探索精神，从数据中发现价值用以支持决策；5、拥有电商行业背景、或财务、品类管理背景优先。
                        


查看职位地图",面议,http://jobs.zhaopin.com/147576908253342.htm,资深数据分析师-跨境电商033(职位编号：J163614)
12,海明控股有限公司 ,大专,1-3年,全职,其他,1人 ,杭州,昨天,"岗位描述： 1. 负责数据分析服务，通过对海量数据的分析挖掘，提取用户特征、行为轨迹、业务质量指标及变动趋势， 并定期形成相关分析报告； 2. 参与大数据挖掘工作，从商城运营、用户分析、质量指标等方向为品牌提供数据分析和质量提升服务，并根据分析结果提出决策建议； 3. 响应并管理业务部门的其他数据分析需求，协调研发及相关部门推动分析项目的高效完成；  岗位要求： 1. 计算机、统计、数学专科及以上学历，2年左右数据分析工作经验，有零售行业产品经验优先；2、熟练使用关系型数据库MySQL , SQL ,Oracle中的至少一种； 2. 有互联网数据分析、运营优化相关背景；有网站用户行为研究和数据挖掘经验者优先，有搭建数据库经验优先拥有海量数据处理经验者优先； 3. 具有较强结构化思维、逻辑思维能力，对数据建模、存取、处理、可视化等相关技术有很强的学习热情； 4、有算法开发经验、数据建模经验者优先 5. 积极创新，有开拓精神，乐于面对挑战，负责敬业；优秀的团队合作精神；诚实， 勤奋， 严谨。

工作地址：

                            杭州江干科技经济园九环路１２号",8000-10000元/月,http://jobs.zhaopin.com/204309628251227.htm,数据分析师
13,山东文辉软件服务外包有限公司 ,大专,无经验,全职,数据库开发工程师,3人 ,杭州,昨天,"一、岗位描述1、在上级的领导和监督下定期完成量化的工作要求；2、能独立处理和解决所负责的任务；3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；二、招聘要求：1、大专及以上学历，计算机、数学、财务类、机电类、电子类、网络类及相关理工科专业毕业；2、热爱软件开发行业，善于学习和总结分析；3、做事认真、细心、负责，能够专心学习技术；4、有良好的工作态度和团队合作精神；5、优秀的应往届毕业生可适当放宽条件；五、工作时间1、周一至周五，早上9：00-下午17:30，周末双休；2、针对连续工作满1年的员工提供带薪5天年假；3、国家法定节假日正常休息；

工作地址：

                            杭州市上城区中河中路258号瑞丰国际大厦27楼",4001-6000元/月,http://jobs.zhaopin.com/506070230252184.htm,大数据开发/数据分析 （双休 五险一金）
14,阿里巴巴集团 ,本科,3-5年,全职,算法工程师,若干 ,杭州,15天前,"1.能够结合风险场景通过各种海量异构数据,探索路径、方法和发现各种异常、情报、意图，能够追本溯源； 2.了解业界安全态势和热点，对黑产产业链深入分析； 3. 基于数据，对黑灰用户行为进行数据分析，发现现象和规律，预测其破坏目标和结果；1.熟练掌握SQL/python/java/R等基础编程能力，能够对数据进行清洗，预处理和统计分析； 2.熟悉数据仓库模型设计与ETL开发过程 ，掌握常用数据建模设计方法，具备海量数据加工处理的能力； 3.有客户数据模型建立和运营经验、数据化运营经验、数据类产品类规划经验，尤其是互联网相关的； 4.有一定的数据挖掘体系建设或算法模型应用的实践经验，能够独立完成需求抽象，特征工程，数据清洗，算法建模和优化； 5.有良好的数据敏感度，思路清晰，善于主动思考，有创新、能独立分析和解决问题，具有良好的沟通能力和团队合作精神； 6.有安全领域工作经验者特别是具有安全领域大数据工作经验背景优先；
                        


查看职位地图",面议,http://jobs.zhaopin.com/000127917285346.htm,安全部-数据分析专家/高级数据分析专家(职位编号：GP037831)
15,阿里巴巴集团 ,本科,3-5年,全职,数据库开发工程师,若干 ,杭州,15天前,"我们是阿里巴巴研发效能事业部的智能优化团队，我们专注于数据中心的成本优化，容量规划和风险评估的研究，并同时为其他业务团队提供横向算法服务。我们致力于把数据中心的性能数据和业务数据结合，利用大数据算法能力与集团业务需求紧密结合，解决数据中心成本智能优化和运营的世界级问题。以下招聘职位将全面深入参与到集团数据中心的成本优化，容量预测和规划，监控中的智能故障定位等重要方向上，并在诸多数据挖掘分析中起到核心作用。 阿里巴巴成本中心研发团队，期待你的加入。  1. 负责规范数据库，包括收集/处理/统计分析性能相关和容量规划项目建设需求的数据? 2. 数据信息的收集整理并解决多样数据源数据汇集迁移问题? 3. 利用机器学习进行成本优化分析和风险评估模型建立-包括异常检测， 时序数据的预测，聚类分析，动态优化， 敏感度分析等? 4. 能对业界的分布式机器学习算法和应用有广泛了解并且能够跟踪最新进展?1. 拥有统计，运筹学科或者计算机科学的硕士以上学位，或在大数据领域有丰富的工作经验； 2. 了解计算机基础架构和性能分析 3. 对LINUX环境下的多线程开发、分布式系统有一定的研究并有丰富的开发经验 4. 掌握至少三种数据库开发技术（mysql、oracle、hive、hbase、nosql），熟悉数据库设计，具有一定的数据库运维能力 5. 熟练掌握R, Python进行大规模数据分析的工具，Coding能力强 6. 对于把大数据分析的结果能够应用到实际业务场景产生商业价值具有热情，对开源技术非常感兴趣并具有一定的研究能力 7. 良好的英语沟通能力和团队合作精神，有一定的组织协调能力
                        


查看职位地图",面议,http://jobs.zhaopin.com/000127917286384.htm,研发效能事业部-数据分析资深研发工程师/专家-智能优化-杭州(职位编号：GP040623)
16,阿里巴巴集团 ,本科,3-5年,全职,其他,若干 ,杭州,15天前,"岗位描述：1. 构建全面的、准确的、能反映服务业务线特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位业务问题 2. 通过专题分析，对业务问题进行深入分析，为公司运营决策、产品方向、销售策略提供数据支持 3. 沉淀分析思路与框架， 提炼数据产品需求，与相关团队（如技术开发团队） 协作并推动数据产品的落地 4. 与相关团队协作进行数据建模工作，推动业务部门的数据化运营 5. 与相关团队协作（如数据运营团队）组织数据技术与产品相关的理念、技能、工具的培训岗位要求：1. 统计、数学、信息技术、生物统计本科以上学历，3年左右相关工作经历 2. 熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题 3. 良好的数据敏感度,能从海量数据提炼核心结果，有丰富的数据分析、挖掘、清洗和建模的经验 4. 熟练运用SQL，能高效的与数据技术团队进行沟通 5. 大项目的经验，有丰富的跨团队、部门的项目资源整合能力，能够独立开展研究项目 6. 有客户数据模型建立和运营经验、数据化运营经验、数据类产品类规划经验，尤其是互联网相关的优先

工作地址：

                            浙江-杭州
                            
                            查看职位地图",面议,http://jobs.zhaopin.com/000127917287770.htm,商业智能部-数据分析专家-杭州(职位编号：GP043995)
17,阿里巴巴集团 ,本科,5-10年,全职,数据库开发工程师,若干 ,杭州,15天前,"岗位描述: 1、运用数据构建全面的、准确的、能反映基础架构业务特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位产品、服务的问题; 2、基于对于基础架构业务数据的深入理解，构建基础架构服务、产品的关键成功要素模型； 3、善于沟通，能够深入了解基础架构业务问题&痛点，通过数据分析为团队运营决策、产品方向提供数据支持； 4、与相关团队协作进行数据建模工作，推动业务部门的数据化运营岗位要求: 1、对数据分析维度非常敏感，可以提供有价值的数据分析建议； 2、数据处理能力强，可使用多种方式提取数据并分析，掌握hive、SQL等相关数据提取工具，熟练操作excel、PPT等工具； 3、良好的商业嗅觉、逻辑分析能力和和沟通能力有丰富的数据分析、挖掘和建模的经验； 4、有三年或以上数据分析工作经验，有互联网企业IT系统分析经验优先； 5、数学、计算机、统计学等相关专业本科及以上学历；
                        


查看职位地图",面议,http://jobs.zhaopin.com/000127917284250.htm,基础设施事业群-数据分析师-GOC(职位编号：GP034841)
18,阿里巴巴集团 ,本科,3-5年,全职,数据库开发工程师,若干 ,杭州,15天前,"1、规划安全分析所需的日常监控指标体系，落地执行日常监控的分析报告。 2、挖掘各内部应用系统的操作风险链路，推动搭建数据安全分析产品体系 3、协助审计人员、运营人员完成安全数据分析相关工作。针对运营问题进行深度诊断，发现安全业务运营问题与机会点，辅助制定运营策略，提升运营效率；1、精通SQL，精通任意一种以上数据分析挖掘工具； 2、熟练掌握常规数据挖掘算法和通用数据挖掘模型，对深度学习和算法有自己的认识和理解。 3、有两年以上案件分析、风控数据分析或数据挖掘领域相关工作经验 4、计算机、统计学、应用数学相关专业本科以上学历，有DW、ETL经验者优先； 5、逻辑思维能力强，对数据敏感，有较强的学习能力和创新思维。有严密的逻辑分析能力，善于通过数据分析解决问题； 6、具备良好的沟通能力和文字表达能力。责任心强，工作细心踏实，有正义感、有担当、有良好的沟通能力和团队合作精神；
                        


查看职位地图",面议,http://jobs.zhaopin.com/000127917285912.htm,集团安全-数据安全风险数据分析专家(职位编号：GP039448)
19,杭州时趣信息技术有限公司 ,本科,不限,全职,其他,1人 ,杭州-西湖区,15天前,"职位描述:1.能利用数据分析手段，对多种数据源的进行深度诊断性组合分析、挖掘、深度分析，并通过分析潜在业务机会给出建议；2.应用机器学习、文本挖掘等技术，对海量数据进行挖掘，发现其潜在关系，为公司运营决策、产品方向、销售策略提供数据支持及建议；3.配合业务部门的项目给予数据支持，或负责及参与跨部门等大型项目的推进获得结果；4.通过大数据挖掘用户群体行为和属性特征，帮助业务更好的理解客户。职位要求:1.具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS、PPT等工具；2.良好的数据敏感度,能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；3.具备良好的抗压能力、沟通能力、逻辑思维能力，有独立开展分析研究项目经验；4.数学、统计、计算机等相关专业优先；5.具备良好的抗压能力、沟通能力、逻辑思维能力。

工作地址：

                            杭州市西湖区古墩路99号浙商财富中心A座
                            
                            查看职位地图",15001-20000元/月,http://jobs.zhaopin.com/463074321250776.htm,资深数据分析
